,response,context,context/0,context/1,context/2,context/3,context/4,context/5,context/6,context/7,context/8
95,"Nothing. Nothing, I'm fine.","HARRY, what is it?",Susan Bones.,There isn't a witch or wizard who went bad who wasn't in Slytherin.,Slytherin!,Draco Malfoy.,Okay. Gryffindor!,"Ah, right then... hmm... right.","Mental, that one, I'm telling you.","Oh, no. Okay, relax.",Hermione Granger.
96,"Not Slytherin, not Slytherin!",But where to put you?,And a thirst to prove yourself.,"There's talent, oh, yes.","Not a bad mind, either.","Plenty of courage, I see.","Hmm... difficult, very difficult.",HARRY Potter.,Gryffindor!,I know just what to do with you.,Another Weasley!
97,"Say, Percy, who's that teacher talking to Professor Quirrell?",Bit of a nasty shock for him when he found out.,My dad's a Muggle. Mum's a witch.,I'm half and half.,Let the feast begin.,"Your attention, please.",Better be...Gryffindor!,"No? Well, if you're sure.","And Slytherin will help you on the way to greatnesses, no doubt about that.","It's all here, in your head.","You could be great, you know."
98,What's he teach?,"Oh, thats Professor Snape, head of Slytherin house.","Say, Percy, who's that teacher talking to Professor Quirrell?",Bit of a nasty shock for him when he found out.,My dad's a Muggle. Mum's a witch.,I'm half and half.,Let the feast begin.,"Your attention, please.",Better be...Gryffindor!,"No? Well, if you're sure.","And Slytherin will help you on the way to greatnesses, no doubt about that."
99,I think she fancies you.,Look at that one.,That picture's moving.,"Quickly now, come on. Come on.","Keep up, please, and follow me.",They like to change.,"Oh, and keep an eye on the staircases.",This is the most direct path to the dormitories.,"Ravenclaw, follow me. This way.",Keep up. Thank you.,"Gryffindors, follow me please."
100,We got lost.,"That way, one of you might be on time.","Perhaps, lt'd be more useful if I were to transfigure Mr. Potter and yourself into a pocket-watch.","Thank you for that assessment, Mr Weasley.",That was bloody brilliant!,Can you imagine the look on old McGonagall's face if we were late?,Made it!,You'll find that your belongings have already been brought up.,"Girls, the same on your right.",Boys' dormitory is upstairs and down to your left.,Welcome to the Gryffindor common room.
101,"I don't know, Sir.","Where, Mr Potter, would you look if I asked you to find me a bezoar?","You don't know? Well, let's try again.","Tell me, what would I get if I added powdered root of asphodel to an infusion of wormwood?",Our new celebrity.,Mr. Potter.,"Then again, maybe some of you have come to Hogwarts in possession of abilities so formidable that you feel confident enough to not pay attention.",I can tell you how to bottle fame brew glory and even put a stopper in death.,"However, for those select few who possess the predisposition I can teach you how to bewitch the mind and ensnare the senses.","As such, I don't expect many of you to appreciate the subtle science and exact art that is potion-making.",There will be no foolish wand-waving or silly incantations in this class.
102,"I don't know, Sir.",And what is the difference between monkshood and wolfsbane?,"I don't know, Sir.","Where, Mr Potter, would you look if I asked you to find me a bezoar?","You don't know? Well, let's try again.","Tell me, what would I get if I added powdered root of asphodel to an infusion of wormwood?",Our new celebrity.,Mr. Potter.,"Then again, maybe some of you have come to Hogwarts in possession of abilities so formidable that you feel confident enough to not pay attention.",I can tell you how to bottle fame brew glory and even put a stopper in death.,"However, for those select few who possess the predisposition I can teach you how to bewitch the mind and ensnare the senses."
103,"Clearly, Hermione knows.","Clearly, fame isn't everything is it, Mr. Potter?",Pity.,"I don't know, Sir.",And what is the difference between monkshood and wolfsbane?,"I don't know, Sir.","Where, Mr Potter, would you look if I asked you to find me a bezoar?","You don't know? Well, let's try again.","Tell me, what would I get if I added powdered root of asphodel to an infusion of wormwood?",Our new celebrity.,Mr. Potter.
104,Seems a pity not to ask her.,"Clearly, Hermione knows.","Clearly, fame isn't everything is it, Mr. Potter?",Pity.,"I don't know, Sir.",And what is the difference between monkshood and wolfsbane?,"I don't know, Sir.","Where, Mr Potter, would you look if I asked you to find me a bezoar?","You don't know? Well, let's try again.","Tell me, what would I get if I added powdered root of asphodel to an infusion of wormwood?",Our new celebrity.
105,What's Seamus trying to do to that glass of water?,Eye of rabbit...,Turn this water into rum.,"Eye of rabbit, harp string hum",And Gryffindors note that five points will be taken from your house for your classmate's cheek.,Why aren't you all copying this down?,Well...,"As for monkshood and wolfsbane, they are the same plant, which also goes by the name of aconite.",A bezoar is a stone taken from the stomach of a goat and it will save you from most poisons.,Asphodel and wormwood make a sleeping potion so powerful it is known as the Draught of the Living Dead.,"For your information, Potter"
106,Can I borrow this? Thanks.,Mail's here.,"Actually managed a weak tea yesterday, before...",Turn it into rum. ,What's Seamus trying to do to that glass of water?,Eye of rabbit...,Turn this water into rum.,"Eye of rabbit, harp string hum",And Gryffindors note that five points will be taken from your house for your classmate's cheek.,Why aren't you all copying this down?,Well...
107,Hey Ron! Somebody broke into Gringotts.,"The only problem is, I can't remember what I've forgotten.","When the smoke turns red, it means you've forgotten something.",I've read about those.,"Hey, look! Neville's got a Remembrall",Can I borrow this? Thanks.,Mail's here.,"Actually managed a weak tea yesterday, before...",Turn it into rum. ,What's Seamus trying to do to that glass of water?,Eye of rabbit...
108,Listen.,Hey Ron! Somebody broke into Gringotts.,"The only problem is, I can't remember what I've forgotten.","When the smoke turns red, it means you've forgotten something.",I've read about those.,"Hey, look! Neville's got a Remembrall",Can I borrow this? Thanks.,Mail's here.,"Actually managed a weak tea yesterday, before...",Turn it into rum. ,What's Seamus trying to do to that glass of water?
109,"Believed to be the work of Dark wizards or witches unknown Gringotts goblins while acknowledging the breach, insist nothing was taken.",Listen.,Hey Ron! Somebody broke into Gringotts.,"The only problem is, I can't remember what I've forgotten.","When the smoke turns red, it means you've forgotten something.",I've read about those.,"Hey, look! Neville's got a Remembrall",Can I borrow this? Thanks.,Mail's here.,"Actually managed a weak tea yesterday, before...",Turn it into rum. 
110,"The vault in question, number 713, had, in fact, been emptied earlier that very same day.""","Believed to be the work of Dark wizards or witches unknown Gringotts goblins while acknowledging the breach, insist nothing was taken.",Listen.,Hey Ron! Somebody broke into Gringotts.,"The only problem is, I can't remember what I've forgotten.","When the smoke turns red, it means you've forgotten something.",I've read about those.,"Hey, look! Neville's got a Remembrall",Can I borrow this? Thanks.,Mail's here.,"Actually managed a weak tea yesterday, before..."
111,That's odd. ,"The vault in question, number 713, had, in fact, been emptied earlier that very same day.""","Believed to be the work of Dark wizards or witches unknown Gringotts goblins while acknowledging the breach, insist nothing was taken.",Listen.,Hey Ron! Somebody broke into Gringotts.,"The only problem is, I can't remember what I've forgotten.","When the smoke turns red, it means you've forgotten something.",I've read about those.,"Hey, look! Neville's got a Remembrall",Can I borrow this? Thanks.,Mail's here.
112,That's the vault Hagrid and I went to.,That's odd. ,"The vault in question, number 713, had, in fact, been emptied earlier that very same day.""","Believed to be the work of Dark wizards or witches unknown Gringotts goblins while acknowledging the breach, insist nothing was taken.",Listen.,Hey Ron! Somebody broke into Gringotts.,"The only problem is, I can't remember what I've forgotten.","When the smoke turns red, it means you've forgotten something.",I've read about those.,"Hey, look! Neville's got a Remembrall",Can I borrow this? Thanks.
113,"Give it here, Malfoy.","Maybe if the fat lump had given this a squeeze, he'd have remembered to fall on his fat arse.",Did you see his face?,"Understand? If I see a single broom in the air the one riding it will find themselves out of Hogwarts before they can say, Quidditch.",Everyone's to keep their feet firmly on the ground while I take Mr Longbottom to the hospital wing.,"Poor boy. Come on now, up you get.","Oh, dear, it's a broken wrist.",Is he all right?,Everyone out of the way!,Come back down this instant!,Neville!
114,Give it here or I'll knock you off your broom!,What an idiot.,"Besides, you don't even know how to fly.",You heard what Madam Hooch said.,"HARRY, no way!",Bit beyond your reach?,"What's the matter, Potter?",How about on the roof?,No. I think I'll leave it somewhere for Longbottom to find.,"Give it here, Malfoy.","Maybe if the fat lump had given this a squeeze, he'd have remembered to fall on his fat arse."
115,Let's go this way.,"The staircases change, remember?",What's happening?,Ahh!,Who doesn't?,She knows more about you than you do.,"I'm telling you, it's spooky. ",I-I didn't know.,"HARRY, you never told me your father was a Seeker, too.",Whoa. ,It's in your blood.
116,It's locked!,"Run! Quick, let's hide through that door!",It's Filch's cat!,Let's go.,It's forbidden.,This is the 3rd floor. ,We're not supposed to be here. ,Does anybody feel like...we shouldn't be here?,Before the staircase moves again. ,Let's go this way.,"The staircases change, remember?"
117,What was that?,"Eh, not bad, Potter, you'd make a fair beater...Uh-oh. ","Careful now, it's comin' back. ",You better take this. ,What are those?,I think so. ,With me so far?,"The keeper, that's me, defends the hoops. ","Now, the chasers handle the Quaffle and try to put it through one of those three hoops. ",This one's called the Quaffle.,There are three kinds of balls. 
118,I think she heard you.,No wonder she hasn't got any friends!,"Honestly, she's a nightmare. ","It's Leviosa, not Leviosar. ","I think we're going to need another feather over here, Professor.",Whooaaa! Ooh.,Wingard Levosa. Wingardly Lev... ,"Oh, splendid!",Ms. Granger's done it! ,"See here, everyone! ","Oh, well done! "
119,Where's Hermione?,I think she heard you.,No wonder she hasn't got any friends!,"Honestly, she's a nightmare. ","It's Leviosa, not Leviosar. ","I think we're going to need another feather over here, Professor.",Whooaaa! Ooh.,Wingard Levosa. Wingardly Lev... ,"Oh, splendid!",Ms. Granger's done it! ,"See here, everyone! "
120,Good of you to get us out of trouble like that.,M-might wake up...heh.Ahh! Hehe....,Perhaps you ought to go...,For sheer dumb luck. ,5 points...will be awarded to each of you. ,Not many first year students could take on a full grown mountain troll and live to tell the tale. ,As for you two gentlemen I just hope you realize how fortunate you are. ,5 points will be taken from Gryffindor for your serious lack of judgment. ,I would have expected more rational behaviour on your part and I am very disappointed in you Ms. Granger. ,Be that as it may...it was an extremely foolish thing to do. ,I'd probably be dead.
